primary_publisher,game_count,review_score,avg_owners_mid,avg_language_count,avg_positive_review_ratio,avg_active_users_rate,recent_release_count,avg_price,total_est_revenue,avg_est_revenue_per_game,max_single_game_revenue,recent_release_ratio,avg_owners_mid_norm,avg_language_count_norm,game_count_norm,recent_release_count_norm,avg_active_users_rate_norm
Axyos Games,10,6.1,49000.0,3.2,0.679167324188531,4.028571428571429e-05,1,165.0,46610000.0,4661000.0,25900000.0,0.1,0.20358462141124065,0.3089930534388552,0.0,0.14332232775009315,0.5502450980392157
Azerbaijan Technology,10,4.7,10000.0,103.0,0.45483225651556064,1e-05,0,19499.0,1949900000.0,194990000.0,194990000.0,0.0,0.0,1.0,0.0,0.0,0.3247549019607843
Azurezero,12,6.428571428571429,10000.0,1.0,0.8167353698932647,1.6666666666666667e-05,4,704.5,84540000.0,7045000.0,10790000.0,0.3333333333333333,0.0,0.14924393652741208,0.04352095933159413,0.33278413942759594,0.39215686274509803
BANDAI NAMCO Entertainment,67,6.9375,615000.0,7.686567164179104,0.7705814132681367,0.0013153748400852878,0,70908.51515151515,15916620270000.0,241160913181.81818,15330000000000.0,0.0,0.5276717949234638,0.46545992257889585,0.47456678923647944,0.0,0.9767156862745098
Back To Basics Gaming,57,5.222222222222222,427017.5438596491,1.1578947368421053,0.5612601288702881,1.697577276524645e-06,0,146.27272727272728,3053520000.0,55518545.45454545,298500000.0,0.0,0.4809382044611465,0.16560472713010874,0.4331272271926699,0.0,0.18259803921568626
Bad Kid Games,11,6.8,10000.0,2.0,0.8923835384598906,9.090909090909091e-06,6,408.09090909090907,44890000.0,4080909.090909091,4990000.0,0.5454545454545454,0.0,0.23654604285595657,0.022668219139849854,0.4023566422499772,0.30392156862745096
BadLand Publishing,10,5.714285714285714,24000.0,3.9,0.6348024811587512,0.0,0,244.55555555555554,39320000.0,4368888.888888889,11515000.0,0.0,0.1121476679165179,0.3421837738529695,0.0,0.0,0.07659313725490197
Bandai Namco Entertainment,25,7.4,1201600.0,11.04,0.8223022875584476,0.0022729942857142855,10,2496099.96,12950474610000.0,518018984400.0,8049650000000.0,0.4,0.6134772203675162,0.5357504340000074,0.22409978394868502,0.49581379227537004,0.9950980392156863
Beijing Happy Entertainment Technology,10,6.555555555555555,19000.0,2.6,0.832790933215049,0.00013266666666666665,5,3455.7,482980000.0,48298000.0,146965000.0,0.5,0.0822209833862259,0.27580233302474083,0.0,0.370482842750058,0.7634803921568627
BekkerDev Studio,15,6.0,15000.0,1.8,0.7436625426575437,1.9047619047619047e-06,2,462.3333333333333,110650000.0,7376666.666666667,41265000.0,0.13333333333333333,0.05193932803211756,0.22169094711031065,0.09761520293164012,0.22716051499996484,0.18382352941176472
