app_id,name,release_date,is_free,languages,type,price_final,price_initial,price_currency,price_final_formatted,price_discount_percent,price_initial_formatted,price_recurring_sub,price_recurring_sub_desc,full_audio_support,has_recurring_subscription,has_discount,language_count
3012040,Dart Companion,2024-07-18,False,English,game,299.0,299.0,EUR,"2,99€",0.0,,,,True,False,False,1
3012050,Witch of Oblivion,,False,English,game,,,,,,,,,False,False,False,1
3012090,Aquametsis Demo,2024-06-05,True,,demo,,,,,,,,,False,False,False,0
3012120,《方块战记》《Legend Square》,,False,"Simplified Chinese, English, Spanish - Spain, Spanish - Latin America, Portuguese - Brazil, Portuguese - Portugal, Japanese, Korean, Russian, German, French, Italian, Traditional Chinese",game,,,,,,,,,True,False,False,13
3012130,Phantom of the Twilight,,False,"English, Japanese, Korean, Simplified Chinese, Traditional Chinese",game,,,,,,,,,True,False,False,5
3012160,Botworld Odyssey Demo,2024-08-28,True,"English, French, Italian, Japanese, Korean, Portuguese - Brazil, Simplified Chinese, Spanish - Latin America, Traditional Chinese",demo,,,,,,,,,False,False,False,9
3012170,コメンテーター,,False,Japanese,game,,,,,,,,,False,False,False,1
3012200,NUMANUIN Demo,2024-10-14,True,"English, French, German, Spanish - Spain, Portuguese - Brazil, Spanish - Latin America, Simplified Chinese, Polish, Portuguese - Portugal, Russian, Ukrainian, Japanese",demo,,,,,,,,,False,False,False,12
3012210,Ducky: The Brave,2024-06-26,False,"English, French, German, Spanish - Spain, Japanese, Korean, Portuguese - Portugal, Russian, Simplified Chinese, Italian, Greek, Dutch, Norwegian, Danish, Romanian, Vietnamese, Bulgarian, Swedish, Spanish - Latin America, Arabic, Ukrainian, Indonesian, Traditional Chinese, Czech, Thai, Turkish, Portuguese - Brazil, Polish, Finnish, Hungarian",game,299.0,299.0,EUR,"2,99€",0.0,,,,True,False,False,30
3012220,Double Dragon Revive,,False,"English, French, Italian, German, Spanish - Spain, Portuguese - Brazil, Simplified Chinese, Traditional Chinese, Japanese, Korean",game,,,,,,,,,True,False,False,10
3012230,Hmph! Hmph! Yowai Demo,2024-05-28,True,English,demo,,,,,,,,,False,False,False,1
3012260,ZukuRace,,False,English,game,,,,,,,,,True,False,False,1
3012270,Doomed Stars,,False,English,game,,,,,,,,,False,False,False,1
3012280,Paw Brawl Party,,True,English,game,,,,,,,,,True,False,False,1
3012290,Predictile,2024-06-20,False,"English, Japanese",game,499.0,499.0,EUR,"4,99€",0.0,,,,False,False,False,2
3012300,Carbon,,False,English,game,,,,,,,,,True,False,False,1
3012310,Coloniser Playtest,2024-07-11,False,,game,,,,,,,,,False,False,False,0
3012320,Mystery Detective Adventure Demo,2024-06-24,True,,demo,,,,,,,,,False,False,False,0
3012330,Pipistrello and the Cursed Yoyo Demo,2024-05-31,True,"English, French, Italian, German, Japanese, Portuguese - Brazil, Spanish - Latin America",demo,,,,,,,,,False,False,False,7
3012340,Skopje Demo,2024-06-10,True,,demo,,,,,,,,,False,False,False,0
3012360,BREAKER: INITIATING,2024-09-30,True,"English, Traditional Chinese",game,,,,,,,,,False,False,False,2
3012370,Unrailed 2: Back on Track Playtest,2024-06-28,False,,game,,,,,,,,,False,False,False,0
3012400,Morriton Manor Stories: Nordic Whispers,,False,"English, French, German, Spanish - Spain, Portuguese - Brazil, Simplified Chinese",game,,,,,,,,,True,False,False,6
3012410,Everise,,False,English,game,,,,,,,,,False,False,False,1
3012420,Apprehending the Adventurer Chan! ~Live2D Tentacles Simulator~,2024-06-27,False,"Japanese, English, Simplified Chinese, Traditional Chinese, Korean, Russian",game,779.0,779.0,EUR,"7,79€",0.0,,,,False,False,False,6
3012430,Grasp of Dread,,False,"English, French, Italian, German, Spanish - Spain, Arabic, Spanish - Latin America, Simplified Chinese, Korean, Polish, Russian, Turkish",game,,,,,,,,,True,False,False,12
3012460,SUGAMENIA Demo,2024-06-11,True,"English, French, Italian, German, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean, Spanish - Latin America, Japanese, Portuguese - Brazil, Portuguese - Portugal, Russian",demo,,,,,,,,,True,False,False,13
3012470,SickWay VR,,False,"English, German, Spanish - Spain",game,,,,,,,,,True,False,False,3
3012510,BUG,2024-06-12,True,"English, French, Italian, German, Spanish - Spain, Arabic, Bulgarian, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Indonesian, Japanese, Korean, Norwegian, Polish, Portuguese - Brazil, Portuguese - Portugal, Romanian, Russian, Simplified Chinese, Spanish - Latin America, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese, Afrikaans, Albanian, Amharic, Armenian, Assamese, Azerbaijani, Bangla, Basque, Belarusian, Bosnian, Catalan, Cherokee, Croatian, Dari, Estonian, Filipino, Galician, Georgian, Gujarati, Hausa, Hebrew, Hindi, Icelandic, Igbo, Irish, K'iche', Kannada, Kazakh, Khmer, Kinyarwanda, Konkani, Kyrgyz, Latvian, Lithuanian, Luxembourgish, Macedonian, Malay, Malayalam, Maltese, Maori, Marathi, Mongolian, Nepali, Odia, Persian, Punjabi (Gurmukhi), Punjabi (Shahmukhi), Quechua, Scots, Serbian, Sindhi, Sinhala, Slovak, Slovenian, Sorani, Sotho, Swahili, Tajik, Tamil, Tatar, Telugu, Tigrinya, Tswana, Turkmen, Urdu, Uyghur, Uzbek, Valencian, Welsh, Wolof, Xhosa, Yoruba, Zulu",game,,,,,,,,,True,False,False,103
3012520,Apeiron Playtest,2024-06-04,False,,game,,,,,,,,,False,False,False,0
3012550,"Listen, Think, Meow!",2024-06-18,False,English,game,99.0,99.0,EUR,"0,99€",0.0,,,,True,False,False,1
3012590,Parkitect Demo,2024-05-29,True,"English, French, Italian, German, Spanish - Spain, Dutch, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese",demo,,,,,,,,,False,False,False,12
3012630,硅心_Silicon Heart——AI少女情人梦 _AI Girl Lovestory,2024-09-10,False,Simplified Chinese,game,399.0,399.0,EUR,"3,99€",0.0,,,,True,False,False,1
3012660,Pralai Song of The Last Empire,2024-07-02,True,Thai,game,,,,,,,,,True,False,False,1
3012670,Train of Thoughts,2024-09-13,False,English,game,199.0,199.0,EUR,"1,99€",0.0,,,,True,False,False,1
3012690,MISTERY Playtest,,False,,game,,,,,,,,,False,False,False,0
3012710,Pimic of Sorrow,,False,"English, Japanese",game,,,,,,,,,False,False,False,2
3012740,MUST FIND BEANS,,False,English,game,,,,,,,,,True,False,False,1
3012780,Mystopia,,False,"English, German, French, Italian, Spanish - Spain, Arabic, Bulgarian, Greek, Korean, Norwegian, Polish, Portuguese - Brazil, Portuguese - Portugal, Romanian, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Turkish, Japanese, Ukrainian",game,,,,,,,,,False,False,False,21
3012800,Leglakh: Prologue,2024-07-10,True,English,game,,,,,,,,,True,False,False,1
3012810,Kimi sae Ireba Episode Sutelz,2024-07-29,False,"English, Japanese, Portuguese - Brazil",game,299.0,299.0,EUR,"2,99€",0.0,,,,True,False,False,3
3012820,PSX HORROR,2024-06-28,True,English,game,,,,,,,,,True,False,False,1
3012830,Dark Card,2024-06-14,False,English,game,499.0,499.0,EUR,"4,99€",0.0,,,,False,False,False,1
3012840,Parking World: Build & Manage Demo,2024-08-20,True,English,demo,,,,,,,,,False,False,False,1
