publisher_primary,game_count,review_score,avg_owners_mid,avg_language_count,avg_positive_review_ratio,avg_active_users_rate,recent_release_count,recent_release_ratio,avg_owners_mid_norm,avg_language_count_norm,game_count_norm,recent_release_count_norm,avg_active_users_rate_norm
Square Enix,161,6.760273972602739,633105.5900621118,6.875776397515528,0.7717184926346778,0.001448977639751553,22,0.13664596273291926,0.5313888557002893,0.4443622026720985,0.7007213908499331,0.6483274292638558,0.9864864864864865
Stardock,10,5.111111111111111,10000.0,8.7,0.6080964965119234,4e-05,5,0.5,0.0,0.48921934756383106,0.0,0.370482842750058,0.5491400491400491
Stardock Entertainment,21,6.095238095238095,435476.1904761905,3.6666666666666665,0.731150679643577,0.0005134875283446713,3,0.14285714285714285,0.4834510534291302,0.33167859346893847,0.18057882461709088,0.2866446555001863,0.9398034398034398
Starship Studio,19,6.235294117647059,16052.631578947368,3.1578947368421053,0.7359626194059429,8.491228070175439e-05,1,0.05263157894736842,0.06062743101694597,0.30682362967424387,0.1557485999176193,0.14332232775009315,0.687960687960688
Stegalosaurus Game Development,44,6.0,25000.0,1.0,0.7256642682364414,6.493506493506493e-07,7,0.1590909090909091,0.11737710606046528,0.14924393652741208,0.3670122815682204,0.4299669832502795,0.16339066339066338
Strategy First,161,5.656716417910448,57267.08074534161,1.7888198757763976,0.5820114318386921,4.345341614906833e-05,13,0.08074534161490683,0.22355711076311074,0.22082950058045317,0.7007213908499331,0.5456789700000703,0.5663390663390664
Studio Goya,10,7.6,19000.0,3.6,0.9058726197041626,0.000278,0,0.0,0.0822209833862259,0.32858050423300444,0.0,0.0,0.8783783783783784
Studio Inward,12,6.125,10000.0,3.0,0.7727320491158967,0.0,0,0.0,0.0,0.29848787305482416,0.04352095933159413,0.0,0.07678132678132678
Studio Six,11,5.333333333333333,10000.0,2.5454545454545454,0.5855894650012297,0.0,4,0.36363636363636365,0.0,0.27251504036089313,0.022668219139849854,0.33278413942759594,0.07678132678132678
Studio2760,14,6.285714285714286,11785.714285714286,2.2857142857142856,0.7873453728406974,7.1428571428571436e-06,3,0.21428571428571427,0.021046705422109874,0.2561334936501059,0.08080161612582903,0.2866446555001863,0.26597051597051596
Sunlight Games,10,4.5,90000.0,2.0,0.5419052051149132,6.666666666666667e-07,0,0.0,0.28147214359651435,0.23654604285595657,0.0,0.0,0.16584766584766586
SunshineOvercast,12,4.6,10000.0,1.0,0.3505568410939255,0.0,0,0.0,0.0,0.14924393652741208,0.04352095933159413,0.0,0.07678132678132678
SupaGames,13,,10000.0,9.23076923076923,,0.0,0,0.0,0.0,0.500689933569141,0.06282758118853439,0.0,0.07678132678132678
Super PowerUp Games,25,7.0,20000.0,3.16,0.80622009569378,0.0,25,1.0,0.08879176228199298,0.30693262157083134,0.22409978394868502,0.6736779618529731,0.07678132678132678
T-Bull,11,5.666666666666667,59545.454545454544,5.363636363636363,0.6738941550056303,1.896103896103896e-05,0,0.0,0.22855505847953167,0.39845913262665217,0.022668219139849854,0.0,0.4226044226044226
"T-Time Technology CO., LTD.",13,6.923076923076923,27692.30769230769,1.7692307692307692,0.7815924443899344,0.0004846886446886447,13,1.0,0.13047941577257804,0.21931176834897345,0.06282758118853439,0.5456789700000703,0.9312039312039312
"TALESSHOP Co., Ltd.",14,7.571428571428571,65000.0,2.7857142857142856,0.8925446868206978,1.2448979591836735e-05,3,0.21428571428571427,0.2397832583610936,0.2866327604300004,0.08080161612582903,0.2866446555001863,0.3574938574938575
TERNOX,10,7.166666666666667,44500.0,3.2,0.7049633743372713,2.6000000000000002e-05,1,0.1,0.19124403501288353,0.3089930534388552,0.0,0.14332232775009315,0.47911547911547914
THQ,10,7.666666666666667,33000.0,4.6,0.7209746646962436,7.142857142857143e-05,0,0.0,0.152942897893483,0.37093488363772276,0.0,0.0,0.6492628992628993
THQ Nordic,145,6.562043795620438,371034.4827586207,7.075862068965518,0.756968890089457,0.00021768407224958947,11,0.07586206896551724,0.4629351253903937,0.4497639553904308,0.673629972508924,0.5138051705001512,0.8402948402948403
Tamashii,19,5.0,18684.21052631579,1.105263157894737,0.7050908967575634,0.0,2,0.10526315789473684,0.08007397430530704,0.16028807460739872,0.1557485999176193,0.22716051499996484,0.07678132678132678
Tate Multimedia,10,6.4,139500.0,8.6,0.7372926146405848,0.0001049904761904762,4,0.4,0.3376158972507152,0.48698809975102053,0.0,0.33278413942759594,0.7285012285012284
Team Syukino,16,6.090909090909091,14687.5,1.0,0.720029311859358,0.0,2,0.125,0.049242385366992894,0.14924393652741208,0.11340914000229768,0.22716051499996484,0.07678132678132678
Team17,45,6.7555555555555555,614555.5555555555,9.933333333333334,0.7921521105827637,0.00043645714285714285,19,0.4222222222222222,0.5275791808098126,0.5149902923038139,0.3727382301877314,0.6194287949277822,0.9250614250614251
Team17 Digital Ltd,45,6.594594594594595,281777.77777777775,6.222222222222222,0.7595902980874515,0.00034837883597883595,2,0.044444444444444446,0.42768276785387616,0.42570979392043506,0.3727382301877314,0.22716051499996484,0.902948402948403
Tegridy Made Games,20,6.1,29750.0,1.0,0.6238038457605387,0.0,5,0.25,0.13966121569378614,0.14924393652741208,0.168459422013835,0.370482842750058,0.07678132678132678
Telltale,17,7.294117647058823,326176.4705882353,2.6470588235294117,0.8241325305700246,7.37983193277311e-05,1,0.058823529411764705,0.4464275439903274,0.27859865138140893,0.12830005996515034,0.14332232775009315,0.6609336609336609
