publisher_primary,baseline_score,baseline_rank,min_score,max_score,mean_score,score_range,score_std,min_rank,max_rank,rank_range,mean_absolute_rank_change,top_5_frequency,top_10_frequency,top_20_frequency
G-MODE,0.5146694346146693,195.0,0.438184151016897,0.5911547182124415,0.5146694346146693,0.15297056719554447,0.04732167569032012,72.0,319.0,247.0,55.90588235294118,0.0,0.0,0.0
Coldwild Games,0.5139441527831426,196.0,0.4146400389517456,0.6132482666145397,0.5139441527831426,0.19860822766279407,0.03986182081196439,165.0,214.0,49.0,11.811764705882354,0.0,0.0,0.0
Saikey Studios,0.5139347822841304,197.0,0.42195251664509936,0.6059170479231615,0.5139347822841304,0.18396453127806212,0.04808012051593703,67.0,396.0,329.0,62.28235294117647,0.0,0.0,0.0
Movie Games S.A.,0.5138958131204691,198.0,0.4188510299895023,0.6089405962514359,0.5138958131204691,0.19008956626193363,0.03963858413046354,137.0,298.0,161.0,25.929411764705883,0.0,0.0,0.0
Frontwing USA,0.5136013148391254,199.0,0.38454971509091423,0.6426529145873366,0.5136013148391254,0.2581031994964224,0.051970750632385807,134.0,282.0,148.0,27.529411764705884,0.0,0.0,0.0
WayForward,0.513408466543293,200.0,0.4184405063484759,0.60837642673811,0.513408466543293,0.18993592038963408,0.03909310921783727,140.0,240.0,100.0,18.023529411764706,0.0,0.0,0.0
Home Net Games,0.5129211329016192,201.0,0.441967344839601,0.5838749209636374,0.5129211329016191,0.14190757612403637,0.03224552478853709,124.0,269.0,145.0,30.776470588235295,0.0,0.0,0.0
Nukearts Studio,0.5127555551947773,202.0,0.4189743256029435,0.6065367847866112,0.5127555551947773,0.1875624591836677,0.04763011731582241,76.0,297.0,221.0,40.8235294117647,0.0,0.0,0.0
Revolution Software Ltd,0.5117391462873355,203.0,0.41781840573086787,0.6056598868438032,0.5117391462873355,0.18784148111293536,0.03982070606848966,141.0,292.0,151.0,29.31764705882353,0.0,0.0,0.0
Toge Productions,0.5088260252906021,204.0,0.3968410679130594,0.6208109826681449,0.5088260252906021,0.22396991475508554,0.04692351501493465,132.0,273.0,141.0,28.023529411764706,0.0,0.0,0.0
Frogwares,0.5085513191519565,205.0,0.42348268046176085,0.5936199578421524,0.5085513191519566,0.17013727738039153,0.03888441003063722,128.0,333.0,205.0,38.05882352941177,0.0,0.0,0.0
Cyan Worlds Inc,0.5085310051080286,206.0,0.41668850240136013,0.6003735078146972,0.5085310051080286,0.1836850054133371,0.0372244689531089,163.0,255.0,92.0,18.141176470588235,0.0,0.0,0.0
astragon Entertainment,0.5084425797883007,207.0,0.4389114667130368,0.5779736928635644,0.5084425797883005,0.13906222615052755,0.0315062992146158,135.0,330.0,195.0,34.16470588235294,0.0,0.0,0.0
Phoenixx Inc.,0.5083757920782522,208.0,0.39107317455014995,0.6256784096063547,0.5083757920782523,0.23460523505620473,0.04877730940576323,142.0,265.0,123.0,27.75294117647059,0.0,0.0,0.0
Double Fine Productions,0.508226707071373,209.0,0.41679957072666984,0.5996538434160761,0.508226707071373,0.18285427268940624,0.04542818631788331,70.0,372.0,302.0,56.2,0.0,0.0,0.0
101XP,0.508051199510438,210.0,0.41872711951896313,0.5973752795019129,0.508051199510438,0.1786481599829498,0.03534990227584125,180.0,254.0,74.0,12.376470588235295,0.0,0.0,0.0
Best Place Apps,0.5079703786553508,211.0,0.4248764080397209,0.5910643492709808,0.5079703786553508,0.16618794123125996,0.04472515104427569,73.0,326.0,253.0,50.95294117647059,0.0,0.0,0.0
Outright Games Ltd.,0.5079308708057433,212.0,0.4169474287443452,0.5989143128671415,0.5079308708057433,0.18196688412279627,0.041476509359384725,127.0,322.0,195.0,32.54117647058823,0.0,0.0,0.0
KOMODO,0.5078530545773049,213.0,0.3980954718580414,0.6176106372965685,0.507853054577305,0.21951516543852712,0.04332363504550999,175.0,247.0,72.0,16.8,0.0,0.0,0.0
Headup,0.5075557856508262,214.0,0.40932769446995254,0.6057838768316997,0.5075557856508262,0.1964561823617471,0.039739058135488184,160.0,290.0,130.0,22.04705882352941,0.0,0.0,0.0
Jetdogs Studios,0.5068535919631809,215.0,0.4056558140037747,0.6080513699225872,0.5068535919631809,0.20239555591881253,0.04004275971883214,180.0,236.0,56.0,12.294117647058824,0.0,0.0,0.0
Telltale Games,0.5063454632113165,216.0,0.4073101221535633,0.6053808042690696,0.5063454632113165,0.19807068211550627,0.04713769852571431,104.0,318.0,214.0,42.15294117647059,0.0,0.0,0.0
QUByte Interactive,0.5055708905358738,217.0,0.43169578426031796,0.5794459968114296,0.5055708905358738,0.14775021255111165,0.039566091035499636,104.0,286.0,182.0,40.78823529411765,0.0,0.0,0.0
