scenario_id,scale_reach_weight,quality_weight,engagement_weight,momentum_weight,weight_distance_from_baseline,publisher_primary,overall_score,rank,baseline_rank,rank_change,absolute_rank_change
S081,0.45,0.3,0.2,0.05,0.14142135623730953,khukhrovr,0.3748705507540193,458.0,538.0,-80.0,80.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,kovalevviktor,0.335857801751976,551.0,625.0,-74.0,74.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,lightUP,0.3044796781591395,616.0,571.0,45.0,45.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,magnussoft,,,,,
S081,0.45,0.3,0.2,0.05,0.14142135623730953,meokigame,0.2797208880615489,662.0,690.0,-28.0,28.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,okyakusama,0.42325617434364754,352.0,265.0,87.0,87.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,owlyboi,0.37156061406191765,471.0,385.0,86.0,86.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,qureate,0.48107001156109874,248.0,221.0,27.0,27.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,rokaplay,0.43293687047797447,334.0,325.0,9.0,9.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,rondomedia GmbH,0.3266633306813799,572.0,644.0,-72.0,72.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,tinyBuild,0.617583340492053,55.0,56.0,-1.0,1.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,upjers,0.48029909623603306,250.0,321.0,-71.0,71.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,wow wow Games,0.21862125922677925,748.0,711.0,37.0,37.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,КиКо,0.38952752452825967,423.0,522.0,-99.0,99.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,冷笑黑妖,0.47206065235386635,265.0,286.0,-21.0,21.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,凝冰剑斩,0.3212381875197149,581.0,616.0,-35.0,35.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,吃了就睡工作室,0.33689638288575613,548.0,597.0,-49.0,49.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,方块游戏(CubeGame),0.5135759397554811,187.0,134.0,53.0,53.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,橙光游戏,0.3462469130694486,533.0,494.0,39.0,39.0
S081,0.45,0.3,0.2,0.05,0.14142135623730953,致意,0.4967727233888904,216.0,228.0,-12.0,12.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,072 Project,0.48199850426400204,208.0,105.0,103.0,103.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,0Cube,0.3467428542961637,549.0,619.0,-70.0,70.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,101XP,0.484270628885809,205.0,210.0,-5.0,5.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,10tons Ltd,0.5018832436180677,165.0,234.0,-69.0,69.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,11 bit studios,0.6460623323862644,21.0,20.0,1.0,1.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,2 Left Thumbs,0.6007548273202142,46.0,26.0,20.0,20.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,2Awesome Studio,0.37353286795730256,470.0,482.0,-12.0,12.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,2K,0.6420723836646354,23.0,21.0,2.0,2.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,2P Games,0.5603402008136148,84.0,57.0,27.0,27.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,3000AD,0.17981969877865012,778.0,779.0,-1.0,1.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,3D Realms,0.43815974262045065,307.0,299.0,8.0,8.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,3dm_live_wallpapers,0.4235564491860874,344.0,268.0,76.0,76.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,430Games,0.3763023576143725,463.0,328.0,135.0,135.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,505 Games,0.5705784556667857,73.0,80.0,-7.0,7.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,616 GAMES,0.3846573977417934,435.0,380.0,55.0,55.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,727 Not Hound,0.42473192388709374,340.0,283.0,57.0,57.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,7DOTS,0.3964712941676533,405.0,492.0,-87.0,87.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,7miao game,0.2965732676589911,667.0,642.0,25.0,25.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,8Floor,0.44543306353799905,294.0,331.0,-37.0,37.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,8floor,0.3137419769512342,630.0,550.0,80.0,80.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,AFBIK Studio,0.35343463175760725,534.0,555.0,-21.0,21.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,AK Studio,0.3389619465685511,579.0,620.0,-41.0,41.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,ALPHY,,,,,
S082,0.45,0.35,0.1,0.1,0.158113883008419,AMG GAMES,0.3591927607160201,513.0,584.0,-71.0,71.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,ANPA.US,0.27218056791845036,703.0,713.0,-10.0,10.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,ARTE France,0.4536445552651508,272.0,322.0,-50.0,50.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,ARTLINK,0.31348092931471816,631.0,605.0,26.0,26.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,Absolutist Ltd.,0.3821715562294188,441.0,490.0,-49.0,49.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,Abyssal Studios,0.3734813314780858,472.0,526.0,-54.0,54.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,Accelerate Games,0.38927394400964777,420.0,428.0,-8.0,8.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,Activision,0.6399438405457538,24.0,34.0,-10.0,10.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,Adamvision Studios,0.5363375701934849,110.0,226.0,-116.0,116.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,Aerosoft GmbH,0.4704835969896379,238.0,181.0,57.0,57.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,Afil Games,0.38984634973688376,419.0,416.0,3.0,3.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,Ahlman Game Studio,0.24373167111059757,744.0,756.0,-12.0,12.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,Airem,0.42445210995476357,341.0,415.0,-74.0,74.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,Akella,0.36298792873560176,504.0,507.0,-3.0,3.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,Aksys Games,0.4021552144721444,393.0,295.0,98.0,98.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,Akupara Games,0.5785271442547838,63.0,62.0,1.0,1.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,Alawar,0.6014941791664721,43.0,49.0,-6.0,6.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,Alawar Casual,0.4444435373390441,295.0,244.0,51.0,51.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,Aldorlea Games,0.3707097101613766,481.0,545.0,-64.0,64.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,Alternative Software Ltd,0.31554616544707076,623.0,548.0,75.0,75.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,Amaterasu Software,0.39152491377582077,415.0,553.0,-138.0,138.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,Ammonite Design Studios Ltd,0.27716957153017324,697.0,695.0,2.0,2.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,Anamik Majumdar,0.21731004422934716,762.0,758.0,4.0,4.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,Anarchy Enterprises,0.2635995520162518,712.0,719.0,-7.0,7.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,Anatoliy Loginovskikh,0.43537580011793375,314.0,405.0,-91.0,91.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,Andy Jurko,0.3694451407694035,484.0,468.0,16.0,16.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,AnelaGamesStudio,0.31424816952106555,628.0,618.0,10.0,10.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,Anima Games,,,,,
S082,0.45,0.35,0.1,0.1,0.158113883008419,Anime Mania,0.37767486863358596,454.0,445.0,9.0,9.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,Annapurna Interactive,0.6460065892726972,22.0,29.0,-7.0,7.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,Anshar Publishing,0.44702222049916945,291.0,267.0,24.0,24.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,Apogee Entertainment,0.5358287964941456,112.0,104.0,8.0,8.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,Application Systems Heidelberg,0.48030242516699784,215.0,257.0,-42.0,42.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,Appnori Inc.,0.3454905836731595,551.0,460.0,91.0,91.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,Arc Games,0.6746342901871584,11.0,13.0,-2.0,2.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,Arc System Works,0.4947630627038421,178.0,191.0,-13.0,13.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,"Arcen Games, LLC",0.4021500701457169,394.0,450.0,-56.0,56.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,Archor Games,0.3307767308271208,596.0,534.0,62.0,62.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,Argent Games,0.4006143861643001,398.0,386.0,12.0,12.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,Armor Games Studios,0.585493109869938,58.0,60.0,-2.0,2.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,Art Games Studio S.A.,0.35428129947761644,529.0,506.0,23.0,23.0
S082,0.45,0.35,0.1,0.1,0.158113883008419,Artifex Mundi,0.4771761774955843,225.0,272.0,-47.0,47.0
