rank,publisher_primary,game_count,scale_reach_score,quality_score,engagement_score,momentum_score,overall_score
450,"Arcen Games, LLC",11,0.30390455920495174,0.6104946193816769,0.5171990171990172,0.0,0.39295478497603964
451,EpiXR Games UG,69,0.037017936594671605,0.8039737528542743,0.2014742014742014,0.6549688166941384,0.39268856646337835
452,Strategy First,161,0.22301158872657917,0.5369979768369801,0.5663390663390664,0.26671879296897216,0.3924290813185558
453,kazakovstudios,41,0.2472237564441109,0.6257015337534367,0.366093366093366,0.2988015827316792,0.39227768550989495
454,HH-Games,194,0.09400747284023506,0.6368884556174556,0.5122850122850123,0.4359399177113543,0.39181714229302456
455,Gamesforgames,67,0.1360766534002584,0.5900906189747188,0.296068796068796,0.7196449774324453,0.39181452021113206
456,DLsite,26,0.07974451235458085,0.7779010177438659,0.5442260442260443,0.13701805215383206,0.3906788013155468
457,Bad Kid Games,11,0.04730920857119131,0.7980436210817972,0.304054054054054,0.4882153841727181,0.3900144277611746
458,Starship Studio,19,0.10986667074840548,0.6675455798554768,0.687960687960688,0.08890787846845828,0.3896453280809913
459,WASABI entertainment,58,0.05932473507479592,0.5082761877638933,0.7358722358722358,0.4587034146241148,0.38922647297341095
460,Appnori Inc.,10,0.0895094663464468,0.5956717009623106,0.6726044226044227,0.2946578622000745,0.3887493873608453
461,Independent,11,0.0830148961334275,0.8101489338425428,0.3740786240786241,0.27829422583643815,0.388659752490653
462,Ivanovich Games,19,0.18498937549736177,0.6297142220219398,0.6081081081081081,0.08890787846845828,0.38861835142254897
463,Michaela Laws,10,0.18734956227110697,0.7819310568264011,0.441031941031941,0.0,0.388358052049196
464,Pixel Games UK,111,0.16265172735992975,0.6897700066299909,0.1744471744471744,0.5954643518702594,0.3880681942349464
465,STuNT,46,0.09706936943505967,0.538061610426266,0.2936117936117936,0.8887551112492711,0.3874283878399001
466,Denda Games,18,0.12756851566109564,0.6576948204101927,0.4557739557739558,0.36094265689999083,0.387253616294231
467,Tranquility games,16,0.2461544396490961,0.655077091709173,0.398034398034398,0.16586420599998591,0.3871636918968131
468,Andy Jurko,18,0.0298487873054824,0.8388723544973544,0.6240786240786241,0.0,0.38692450672184997
