scenario_id,scale_reach_weight,quality_weight,engagement_weight,momentum_weight,weight_distance_from_baseline,mean_absolute_rank_change,spearman_correlation,top_5_overlap,top_10_overlap,top_20_overlap
S029,0.3,0.35,0.3,0.05,0.15811388300841894,31.08607594936709,0.982308892448721,0.8,0.9,0.85
S030,0.3,0.4,0.1,0.2,0.158113883008419,43.31645569620253,0.9674830313861474,0.8,0.7,0.8
S031,0.3,0.4,0.15,0.15,0.12247448713915894,25.326582278481013,0.9891671519738804,1.0,0.9,0.9
S032,0.3,0.4,0.2,0.1,0.12247448713915893,21.367088607594937,0.991975688861924,0.8,0.9,0.9
S033,0.3,0.4,0.25,0.05,0.15811388300841897,30.57974683544304,0.9832816203028157,0.8,0.9,0.85
S034,0.35,0.2,0.2,0.25,0.1414213562373095,35.131645569620254,0.977650843734809,1.0,0.8,0.85
S035,0.35,0.2,0.25,0.2,0.12247448713915889,24.169620253164556,0.9893158382187051,1.0,0.8,0.9
S036,0.35,0.2,0.3,0.15,0.14142135623730948,26.045569620253165,0.98766142689022,1.0,0.8,0.95
S037,0.35,0.25,0.15,0.25,0.12247448713915891,37.027848101265825,0.9748292125269559,1.0,0.9,0.85
S038,0.35,0.25,0.2,0.2,0.07071067811865477,17.71645569620253,0.9942553661307507,1.0,0.9,0.95
S039,0.35,0.25,0.25,0.15,0.07071067811865474,14.184810126582278,0.9962705527427579,1.0,0.9,0.95
S040,0.35,0.25,0.3,0.1,0.12247448713915887,26.253164556962027,0.9874276275666342,1.0,0.9,0.9
S041,0.35,0.3,0.1,0.25,0.14142135623730953,45.05569620253164,0.9612267698278394,0.8,0.9,0.9
S042,0.35,0.3,0.15,0.2,0.07071067811865478,21.38227848101266,0.9911763025425553,1.0,0.9,0.9
S043,0.35,0.3,0.25,0.1,0.07071067811865474,17.916455696202533,0.9939776837985841,1.0,0.9,0.85
S044,0.35,0.3,0.3,0.05,0.14142135623730948,32.848101265822784,0.9802361930528669,0.8,0.9,0.85
S045,0.35,0.35,0.1,0.2,0.12247448713915891,35.42278481012658,0.9768370487958732,1.0,0.8,0.9
S046,0.35,0.35,0.15,0.15,0.07071067811865477,16.1873417721519,0.9952682044663433,1.0,0.9,1.0
S047,0.35,0.35,0.2,0.1,0.07071067811865474,17.093670886075948,0.9948421036170806,0.8,0.9,0.9
S048,0.35,0.35,0.25,0.05,0.12247448713915889,30.675949367088606,0.9835466950928609,0.8,0.9,0.85
S049,0.35,0.4,0.1,0.15,0.14142135623730953,34.28860759493671,0.9786258837829221,1.0,0.9,0.9
S050,0.35,0.4,0.15,0.1,0.12247448713915894,26.6,0.9872617337305357,0.8,0.9,0.8
S051,0.35,0.4,0.2,0.05,0.14142135623730953,33.09367088607595,0.980900571580446,0.8,0.9,0.8
S052,0.4,0.2,0.15,0.25,0.15811388300841897,37.437974683544304,0.9735217033178826,1.0,0.8,0.95
S053,0.4,0.2,0.2,0.2,0.12247448713915891,22.263291139240508,0.990806959971723,1.0,0.8,0.9
S054,0.4,0.2,0.25,0.15,0.1224744871391589,22.724050632911393,0.9914405254716463,1.0,0.8,0.85
S055,0.4,0.2,0.3,0.1,0.15811388300841894,32.5873417721519,0.9814975800759943,0.8,0.9,0.8
S056,0.4,0.25,0.1,0.25,0.158113883008419,43.07848101265823,0.9634622233437038,1.0,0.8,0.9
S057,0.4,0.25,0.15,0.2,0.10000000000000003,21.263291139240508,0.991029928491749,1.0,0.8,0.95
S058,0.4,0.25,0.2,0.15,0.07071067811865477,12.073417721518988,0.9976887308592166,1.0,0.9,0.9
S059,0.4,0.25,0.25,0.1,0.1,24.11392405063291,0.9899139419640517,0.8,0.9,0.8
S060,0.4,0.25,0.3,0.05,0.15811388300841897,37.415189873417724,0.9749737124836632,0.8,0.8,0.8
S061,0.4,0.3,0.1,0.2,0.12247448713915894,31.27848101265823,0.9807962794607744,1.0,0.9,0.9
S062,0.4,0.3,0.15,0.15,0.0707106781186548,14.037974683544304,0.996369271257901,1.0,0.9,0.9
S063,0.4,0.3,0.2,0.1,0.07071067811865477,19.769620253164558,0.9935569375038902,0.8,0.9,0.8
S064,0.4,0.3,0.25,0.05,0.12247448713915891,33.81518987341772,0.9803251516753638,0.8,0.8,0.8
S065,0.4,0.35,0.1,0.15,0.12247448713915893,29.50126582278481,0.9839681958929714,1.0,0.9,0.9
S066,0.4,0.35,0.15,0.1,0.10000000000000002,24.78987341772152,0.989333727298742,0.8,0.9,0.85
S067,0.4,0.35,0.2,0.05,0.12247448713915891,34.54177215189873,0.980219812983663,0.8,0.8,0.8
S068,0.4,0.4,0.1,0.1,0.158113883008419,38.49620253164557,0.9736437141454004,0.8,0.9,0.8
S069,0.4,0.4,0.15,0.05,0.158113883008419,40.177215189873415,0.9725472717418797,0.8,0.9,0.8
S070,0.45,0.2,0.1,0.25,0.2,45.27088607594937,0.959801630790441,1.0,0.8,0.85
S071,0.45,0.2,0.15,0.2,0.15811388300841897,27.681012658227846,0.9858846639898355,1.0,0.8,0.85
S072,0.45,0.2,0.2,0.15,0.14142135623730953,23.810126582278482,0.9910334089522188,0.8,0.9,0.85
S073,0.45,0.2,0.25,0.1,0.15811388300841897,32.8253164556962,0.9821303667316169,0.8,0.8,0.8
S074,0.45,0.2,0.3,0.05,0.19999999999999998,44.230379746835446,0.9662780132192998,0.8,0.8,0.8
S075,0.45,0.25,0.1,0.2,0.158113883008419,32.71139240506329,0.9788917374172683,1.0,0.9,0.9
S076,0.45,0.25,0.15,0.15,0.12247448713915894,20.518987341772153,0.9926161179272494,1.0,0.9,0.85
S077,0.45,0.25,0.2,0.1,0.12247448713915893,27.129113924050632,0.988045859569383,0.8,0.8,0.8
S078,0.45,0.25,0.25,0.05,0.15811388300841897,39.78481012658228,0.973200527399286,0.8,0.8,0.8
S079,0.45,0.3,0.1,0.15,0.14142135623730953,29.468354430379748,0.9839459744915103,1.0,0.9,0.9
S080,0.45,0.3,0.15,0.1,0.12247448713915894,28.030379746835443,0.9866505113264953,0.8,0.9,0.85
S081,0.45,0.3,0.2,0.05,0.14142135623730953,38.640506329113926,0.9754672077038409,0.8,0.8,0.8
S082,0.45,0.35,0.1,0.1,0.158113883008419,38.129113924050635,0.9743321881685397,0.8,0.9,0.85
S083,0.45,0.35,0.15,0.05,0.15811388300841897,42.139240506329116,0.9702034128348793,0.8,0.8,0.8
S084,0.45,0.4,0.1,0.05,0.20000000000000004,51.881012658227846,0.9536976576318495,0.8,0.8,0.75
